歌曲名稱,影片網址
周杰倫最好聽的20首歌曲 | 在雨天聽周杰倫－絕佳的選擇 | Listening to Jay Chou on a rainy day - An excellent choice,https://www.youtube.com/watch?v=MVD7fhKgGzc&list=RDMVD7fhKgGzc&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
周杰倫 Jay Chou【擱淺 Step Aside】-Official Music Video,https://www.youtube.com/watch?v=YJfHuATJYsQ&list=RDYJfHuATJYsQ&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
周杰倫鳥巢Day3／黃曉明朝聖大秀肌肉喊「羨慕周董」　散場竟爆「大洗劫」｜TVBS新聞 @TVBSNEWS01,https://www.youtube.com/watch?v=U5hRtW5aBQE&pp=ygUJ5ZGo5p2w5YCr
Jay Chou 周杰倫【Aegean Sea 愛琴海】Official Music Video,https://www.youtube.com/watch?v=ZLldhJXp7iw&list=RDZLldhJXp7iw&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
"周杰倫 Jay Chou【愛你沒差 Love you, no matter what】Official MV",https://www.youtube.com/watch?v=miBGaUagOz8&list=RDmiBGaUagOz8&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
Jay Chou 周杰倫【I Do】Official Music Video,https://www.youtube.com/watch?v=wIgduzASI6A&list=RDwIgduzASI6A&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
"Jay Chou 周杰倫【My Daughter, Your Highness女兒殿下】Official Music Video",https://www.youtube.com/watch?v=aGsrg1NO1cM&list=RDaGsrg1NO1cM&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
周杰倫 Jay Chou【夜曲 Nocturne】-Official Music Video,https://www.youtube.com/watch?v=6Q0Pd53mojY&list=RD6Q0Pd53mojY&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
Jay Chou 周杰倫【Who Cares 誰稀罕】Official Music Video,https://www.youtube.com/watch?v=a7ziV-RjqBo&list=RDa7ziV-RjqBo&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
周杰倫 Jay Chou【愛在西元前 Love before AD】Official MV,https://www.youtube.com/watch?v=5XK2C9w6oVk&list=RD5XK2C9w6oVk&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
周杰倫 Jay Chou【晴天 Sunny Day】-Official Music Video,https://www.youtube.com/watch?v=DYptgVvkVLQ&list=RDDYptgVvkVLQ&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
Jay Chou 周杰倫【Children of the Sun 太陽之子】Official Music Video,https://www.youtube.com/watch?v=Hgnpi3eBQ9o&list=RDHgnpi3eBQ9o&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
周杰倫 Jay Chou【我落淚 情緒零碎 Tears of Scattered Emotion】Official MV,https://www.youtube.com/watch?v=6d0v2InyN_w&list=RD6d0v2InyN_w&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
我落泪 情绪零碎 周杰伦 (歌词版),https://www.youtube.com/watch?v=E633OGjZzN4&list=RDE633OGjZzN4&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB0gcJCUELAYcqIYzv
周杰倫演唱會46首精選Live現場歌曲串燒(Part 1),https://www.youtube.com/watch?v=U_qbwdKQQ4Q&list=RDU_qbwdKQQ4Q&start_radio=1&pp=ygUJ5ZGo5p2w5YCroAcB
